ZipCode,City,StreetAddress,Latitude,Longitude,StateFull
88176,Heimenkirch,Hedemannstasse 84,47.65926,9.897969,Freistaat Bayern
18134,Rostock,Kurfürstendamm 63,54.135088,12.15219,Mecklenburg-Vorpommern
85265,Pfaffenhofen,Rankestraße 65,48.333546,10.175544,Freistaat Bayern
95310,Kulmbach,Ellmenreichstrasse 46,50.023734,11.461961,Freistaat Bayern
33699,Bielefeld Lämershagen,Spresstrasse 11,51.94226,8.553621,Nordrhein-Westfalen
20359,Hamburg Altona-Altstadt,Waßmannsdorfer Chaussee 98,53.450718,9.96342,Hamburg
33104,Paderborn Sande,Bleibtreustrasse 44,51.78523,8.659847,Nordrhein-Westfalen
82539,Münsing,Schillerstrasse 83,47.977882,11.402016,Freistaat Bayern
54646,Bettingen,Güntzelstrasse 80,49.951472,6.384624,Rheinland-Pfalz
55758,Niederhosenbach,Koepenicker Str. 47,49.72959,7.325836,Rheinland-Pfalz
86694,Niederschönenfeld,Alsterkrugchaussee 19,48.812961,10.94673,Freistaat Bayern
25379,Herzhorn,Inge Beisheim Platz 44,53.724278,9.500526,Schleswig-Holstein
02827,Görlitz,Lietzensee-Ufer 83,51.112753,15.042015,Freistaat Sachsen
56414,Weroth,Hollander Strasse 63,50.369116,7.899055,Rheinland-Pfalz
15748,Birkholz,Ruschestrasse 47,52.226437,13.939224,Brandenburg
84570,Polling,Kieler Strasse 49,48.197592,12.536652,Freistaat Bayern
18320,Ahrenshagen,Schoenebergerstrasse 30,54.149432,12.450338,Mecklenburg-Vorpommern
92559,Winklarn,Flughafenstrasse 43,49.416671,12.467753,Freistaat Bayern
56244,Maxsain,Storkower Strasse 67,50.493817,7.732558,Rheinland-Pfalz
21079,Hamburg Gut Moor,Boxhagener Str. 59,53.55264,9.875449,Hamburg
67715,Geiselberg,Grosse Praesidenten Str. 4,49.278035,7.74335,Rheinland-Pfalz
10779,Berlin Schöneberg,Genslerstraße 52,52.451223,13.436583,Berlin
92208,Amberg,Flughafenstrasse 3,49.536406,11.859009,Freistaat Bayern
25770,Hemmingstedt,An Der Urania 65,54.153099,9.121275,Schleswig-Holstein
57648,Unnau,Buelowstrasse 55,50.740629,7.874366,Rheinland-Pfalz
19341,Perleberg,An der Alster 25,53.060461,11.910809,Brandenburg
88317,Aichstetten,Hedemannstasse 6,47.884895,10.002937,Baden-Württemberg
80089,München,Landsberger Allee 33,48.159063,11.518031,Freistaat Bayern
27751,Delmenhorst,Karl-Liebknecht-Strasse 1,53.001669,8.698485,Niedersachsen
25735,Heide,Spresstrasse 40,54.13549,9.010619,Schleswig-Holstein
82435,Bayersoien,Marseiller Strasse 23,47.767384,10.916899,Freistaat Bayern
29587,Natendorf,Michaelkirchstr. 62,53.165172,10.511928,Niedersachsen
49497,Mettingen,Meinekestraße 56,52.322413,7.833382,Nordrhein-Westfalen
88348,Allmannsweiler,Hedemannstasse 42,47.958829,9.615538,Baden-Württemberg
76891,Erlenbach bei Dahn,Hollander Strasse 26,48.980719,7.822138,Rheinland-Pfalz
97040,Würzburg,Mühlenstrasse 23,49.739829,9.947126,Freistaat Bayern
25990,List,Hochstrasse 55,54.965025,8.333394,Schleswig-Holstein
81667,München,Rosenstrasse 5,48.028484,11.558848,Freistaat Bayern
56288,Roth,Joachimstaler Str. 61,50.069308,7.530102,Rheinland-Pfalz
22529,Hamburg Niendorf,Fasanenstrasse 75,53.6406,9.867987,Hamburg
24559,Kaltenkirchen,Karl-Liebknecht-Strasse 61,53.862267,9.935173,Schleswig-Holstein
23783,Bad Segeberg,Hans-Grade-Allee 79,53.89053,10.286366,Schleswig-Holstein
90709,Fürth,Rathausstrasse 62,48.54458,11.959141,Freistaat Bayern
24100,Kiel,Genterstrasse 6,54.307952,10.161212,Schleswig-Holstein
94563,Otzing,Kirchenallee 59,48.681867,12.904473,Freistaat Bayern
96350,Wilhelmsthal,Fontenay 80,50.40563,11.451017,Freistaat Bayern
06607,Naumburg,Flotowstr. 88,51.237303,11.734568,Sachsen-Anhalt
55469,Niederkumbd,Budapester Straße 57,49.943533,7.401486,Rheinland-Pfalz
07548,Gera,Gotthardstrasse 24,50.829476,12.014042,Freistaat Thüringen
83505,Wasserburg,Potsdamer Platz 12,48.132452,12.29547,Freistaat Bayern
58513,Lüdenscheid Freisenberg,Augsburger Straße 50,51.176471,7.712895,Nordrhein-Westfalen
54595,Gondenbrett,Ansbacher Strasse 76,50.208555,6.446786,Rheinland-Pfalz
91274,Auerbach,Kantstraße 31,48.7498,13.088248,Freistaat Bayern
17431,Wolgast,Schoenebergerstrasse 64,54.027504,13.831105,Mecklenburg-Vorpommern
66916,Dunzweiler,Anhalter Strasse 57,49.383707,7.361492,Rheinland-Pfalz
91555,Feuchtwangen,Heiligengeistbrücke 22,49.103919,10.234715,Freistaat Bayern
24029,Kiel,Genterstrasse 58,54.24658,10.131434,Schleswig-Holstein
23873,Mölln,Hans-Grade-Allee 73,53.685773,10.59084,Schleswig-Holstein
89611,Obermarchtal,Mohrenstrasse 18,48.147122,9.576357,Baden-Württemberg
79589,Binzen,Hedemannstasse 94,47.631989,7.715038,Baden-Württemberg
63749,Alzenau,Rudolstaedter Strasse 30,50.000942,9.144743,Freistaat Bayern
44795,Bochum,Leopoldstraße 1,51.492005,7.136269,Nordrhein-Westfalen
73448,Ellenberg,An der Alster 43,49.052779,10.204171,Baden-Württemberg
95491,Ahorntal,Ellmenreichstrasse 90,49.792772,11.404578,Freistaat Bayern
55606,Otzweiler,Brandenburgische Str 24,49.815967,7.483642,Rheinland-Pfalz
52499,Baesweiler,Knesebeckstraße 91,50.914362,6.231524,Nordrhein-Westfalen
13089,Berlin Heinersdorf,Leopoldstraße 50,52.594587,13.370559,Berlin
83071,Stephanskirchen,Jahnstrasse 42,47.913519,12.181023,Freistaat Bayern
41068,Mönchengladbach Poeth,Fischerinsel 41,51.155135,6.419891,Nordrhein-Westfalen
41751,Viersen Busch,Fischerinsel 13,51.237739,6.302757,Nordrhein-Westfalen
81249,Freiham,Kurfuerstendamm 95,48.085218,11.56993,Freistaat Bayern
80704,München,Rhinstrasse 3,48.152948,11.61816,Freistaat Bayern
36425,Bad Salzungen,Kantstraße 97,50.801115,10.277543,Freistaat Thüringen
33739,Bielefeld Babenhausen,Spresstrasse 61,52.062648,8.471309,Nordrhein-Westfalen
94051,Hauzenberg,Kieler Strasse 60,48.699531,13.680399,Freistaat Bayern
99875,Waltershausen,Heinrich Heine Platz 79,50.942696,10.628301,Freistaat Thüringen
84091,Attenhofen,Neuer Jungfernstieg 4,48.66083,11.843509,Freistaat Bayern
76833,Walsheim,Brandenburgische Strasse 60,49.160994,7.996721,Rheinland-Pfalz
08364,Glauchau,Schoenebergerstrasse 6,50.73949,12.570461,Freistaat Sachsen
83099,Rohrdorf,Gubener Str. 84,47.88261,12.124628,Freistaat Bayern
17156,Dargun,Adenauerallee 67,53.95749,12.766718,Mecklenburg-Vorpommern
